# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Wed Sep 21 16:46:17 2016
# 
# -------------------------------------------------
# 
# System Parameters (elliptic orbit):
# 
#   <Eccentricity>     0.150  (dimensionless)
#   <Omega>          120.000  (degree)
#   <Inclination>     80.000  (degree)
#   <Mass Ratio>       2.000  (dimensionless)
#   <Lagrange One>     0.429  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> On
#   <Limb darkening>        square root
#   <Detailed reflection>   0
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  5.444e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>    78.216  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    28.009     14.004   (km/sec)
# 
#   <Mass>             0.333      0.667   (dimensionless)
#   <Gravity>         28.808   17457.877   (dimensionless)
#   <Polar Radius>     0.166      0.007   (dimensionless)
#   <Point Radius>  0.171532   0.006876   (dimensionless)
#   <Mean Radius>   0.166822   0.007043   (dimensionless)
#   <Volume>        0.019922   0.000001   (dimensionless)
# 
#   <Mass>          1.33e+30   2.65e+30   (kilogramm)
#   <Gravity>          0.114     69.386   (m kg/s^2)
#   <Polar Radius>  2.48e+10   1.03e+09   (meter)
#   <Point Radius>  2.56e+10   1.03e+09   (meter)
#   <Mean Radius>   2.49e+10   1.05e+09   (meter)
#   <Volume>        6.62e+31   4.86e+27   (cubic meter)
# 
#   <Mass>             0.667      1.333   (solar mass)
#   <Polar Radius>    35.602      1.474   (solar radius)
#   <Point Radius>    36.772      1.474   (solar radius)
#   <Mean Radius>     35.762      1.510   (solar radius)
#   <Volume>        196266.087     14.414   (solar volumes)
# 
#   <Mean Temp.>     20000.0     3143.2   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.650      0.020   (dimensionless)
#   <Temperature>    20000.0     2000.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      0.500   (dimensionless)
#   <Grav. Dark.>      0.250      0.055   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        7.4376   (dimensionless)
#   <Lagrange 1 Potential>             5.2517   (dimensionless)
#   <Lagrange 2 Potential>             4.6545   (dimensionless)
#   <Surface Potential Secondary>    132.6283   (dimensionless)
#   <... in Primary frame>           264.7566   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        383541.8886   (minutes +/- 185.22)
#   <Primary eclipse end>          392802.8315   (minutes +/- 185.22)
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.11261e+16      2.9362e+09
#   Band   1:     6.53464e+15     5.47377e+09
#   Band   2:     3.26964e+15     7.81269e+09
#   Band   3:     2.21767e+15      9.4264e+09
#   Band   4:       9.921e+14     9.76215e+09
#   Band   5:     1.96132e+14     6.61895e+09
#   Band   6:     7.47083e+13     3.91668e+09
#   Band   7:     2.33177e+13     1.87599e+09
#   Band   8:     1.15003e+16     2.06441e+09
#   Band   9:     7.34898e+15     4.10376e+09
#   Band  10:     5.07946e+15     5.08681e+09
#   Band  11:     3.15066e+15     7.37099e+09
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.11287e+16        0.737375
#   Band   1:       6.536e+15        0.737375
#   Band   2:     3.27024e+15        0.737375
#   Band   3:     2.21806e+15        0.737375
#   Band   4:     9.92262e+14        0.737375
#   Band   5:     1.96164e+14        0.737375
#   Band   6:     7.47215e+13        0.737375
#   Band   7:     2.33223e+13        0.737375
#   Band   8:      1.1503e+16        0.737375
#   Band   9:     7.35055e+15        0.737375
#   Band  10:     5.08047e+15        0.737375
#   Band  11:     3.15123e+15        0.737375
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
     0 -0.2626 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000      -30.12       15.23
     1 -0.2616  0.000037  0.000036  0.000032  0.000030  0.000027  0.000024  0.000022  0.000021  0.000038  0.000037  0.000035  0.000033      -30.12       15.23
     2 -0.2606  0.000077  0.000075  0.000067  0.000061  0.000055  0.000048  0.000045  0.000043  0.000078  0.000077  0.000073  0.000067      -30.12       15.22
     3 -0.2596  0.000122  0.000118  0.000106  0.000098  0.000089  0.000078  0.000072  0.000069  0.000124  0.000122  0.000116  0.000107      -30.12       15.22
     4 -0.2586  0.000171  0.000166  0.000149  0.000138  0.000125  0.000110  0.000103  0.000099  0.000173  0.000171  0.000162  0.000150      -30.11       15.22
     5 -0.2576  0.000223  0.000215  0.000194  0.000180  0.000164  0.000145  0.000136  0.000130  0.000225  0.000222  0.000211  0.000195       -30.1       15.21
     6 -0.2566  0.000274  0.000265  0.000238  0.000221  0.000201  0.000177  0.000166  0.000158  0.000278  0.000273  0.000259  0.000239       -30.1       15.21
     7 -0.2556  0.000335  0.000323  0.000292  0.000271  0.000247  0.000220  0.000206  0.000197  0.000339  0.000333  0.000316  0.000293      -30.09        15.2
     8 -0.2546  0.000396  0.000382  0.000345  0.000321  0.000293  0.000260  0.000245  0.000234  0.000401  0.000394  0.000374  0.000346      -30.07        15.2
     9 -0.2536  0.000468  0.000451  0.000409  0.000382  0.000351  0.000314  0.000297  0.000285  0.000473  0.000464  0.000442  0.000411      -30.06       15.19
    10 -0.2526  0.000547  0.000527  0.000480  0.000450  0.000416  0.000375  0.000356  0.000343  0.000553  0.000541  0.000516  0.000482      -30.05       15.18
    11 -0.2516  0.000621  0.000598  0.000545  0.000512  0.000473  0.000427  0.000405  0.000391  0.000628  0.000615  0.000586  0.000547      -30.03       15.17
    12 -0.2506  0.000693  0.000668  0.000608  0.000570  0.000526  0.000473  0.000449  0.000432  0.000700  0.000686  0.000654  0.000610      -30.01       15.16
    13 -0.2496  0.000775  0.000747  0.000681  0.000640  0.000591  0.000533  0.000506  0.000488  0.000784  0.000767  0.000732  0.000683         -30       15.15
    14 -0.2486  0.000862  0.000830  0.000758  0.000713  0.000660  0.000597  0.000568  0.000548  0.000871  0.000852  0.000813  0.000760      -29.98       15.14
    15 -0.2476  0.000946  0.000911  0.000832  0.000783  0.000724  0.000656  0.000624  0.000602  0.000956  0.000935  0.000893  0.000835      -29.95       15.13
    16 -0.2466  0.001042  0.001003  0.000918  0.000865  0.000802  0.000728  0.000694  0.000671  0.001053  0.001029  0.000983  0.000921      -29.93       15.12
    17 -0.2456  0.001141  0.001098  0.001007  0.000951  0.000883  0.000804  0.000768  0.000743  0.001153  0.001126  0.001077  0.001010      -29.91        15.1
    18 -0.2446  0.001237  0.001190  0.001092  0.001031  0.000959  0.000873  0.000834  0.000807  0.001250  0.001220  0.001167  0.001095      -29.88       15.09
    19 -0.2436  0.001328  0.001278  0.001171  0.001105  0.001026  0.000934  0.000891  0.000862  0.001342  0.001311  0.001252  0.001174      -29.85       15.07
    20 -0.2426  0.001431  0.001377  0.001262  0.001192  0.001108  0.001008  0.000963  0.000931  0.001445  0.001411  0.001349  0.001266      -29.82       15.06
    21 -0.2416  0.001541  0.001483  0.001361  0.001287  0.001197  0.001092  0.001044  0.001010  0.001557  0.001520  0.001453  0.001365      -29.79       15.04
    22 -0.2406  0.001650  0.001587  0.001458  0.001379  0.001284  0.001172  0.001121  0.001085  0.001666  0.001626  0.001556  0.001461      -29.76       15.03
    23 -0.2396  0.001768  0.001701  0.001565  0.001482  0.001382  0.001265  0.001211  0.001173  0.001786  0.001742  0.001668  0.001569      -29.73       15.01
    24 -0.2386  0.001889  0.001817  0.001674  0.001587  0.001482  0.001358  0.001302  0.001263  0.001907  0.001860  0.001781  0.001677      -29.69       14.99
    25 -0.2376  0.002013  0.001936  0.001785  0.001694  0.001585  0.001455  0.001397  0.001356  0.002032  0.001981  0.001898  0.001789      -29.66       14.97
    26 -0.2366  0.002130  0.002049  0.001890  0.001794  0.001679  0.001542  0.001481  0.001438  0.002151  0.002096  0.002009  0.001894      -29.62       14.95
    27 -0.2356  0.002238  0.002153  0.001984  0.001882  0.001759  0.001614  0.001549  0.001502  0.002260  0.002203  0.002110  0.001988      -29.58       14.93
    28 -0.2346  0.002355  0.002264  0.002086  0.001979  0.001849  0.001696  0.001627  0.001578  0.002377  0.002317  0.002219  0.002090      -29.54       14.91
    29 -0.2336  0.002486  0.002390  0.002205  0.002093  0.001958  0.001798  0.001726  0.001675  0.002509  0.002446  0.002343  0.002209       -29.5       14.89
    30 -0.2326  0.002616  0.002515  0.002321  0.002205  0.002064  0.001897  0.001822  0.001769  0.002641  0.002573  0.002466  0.002326      -29.46       14.87
    31 -0.2316  0.002753  0.002647  0.002444  0.002324  0.002177  0.002003  0.001925  0.001870  0.002778  0.002707  0.002595  0.002449      -29.42       14.84
    32 -0.2306  0.002889  0.002777  0.002566  0.002440  0.002287  0.002106  0.002025  0.001967  0.002915  0.002839  0.002723  0.002570      -29.37       14.82
    33 -0.2296  0.003020  0.002903  0.002683  0.002551  0.002392  0.002203  0.002118  0.002058  0.003047  0.002968  0.002846  0.002687      -29.32        14.8
    34 -0.2286  0.003154  0.003031  0.002802  0.002665  0.002499  0.002302  0.002214  0.002151  0.003182  0.003099  0.002972  0.002807      -29.28       14.77
    35 -0.2276  0.003290  0.003162  0.002923  0.002781  0.002608  0.002403  0.002311  0.002246  0.003319  0.003232  0.003100  0.002928      -29.23       14.75
