#   phase        x        y        z        f       vp   betapR   betapT    v_CCF v_iodine   v_mean
 0.194444  -1.0537  -0.9111  +3.7496 0.000000  +0.0000   2.0000   2.0000 -0.00000 +0.00000 -0.00000
 0.200292  -0.9316  -0.8445  +3.7972 0.000000  +0.0000   2.0000   2.0000 -0.00000 +0.00000 -0.00000
 0.206140  -0.8083  -0.7767  +3.8397 0.000000  +0.0000   2.0000   2.0000 -0.00000 +0.00000 -0.00000
 0.211988  -0.6840  -0.7079  +3.8770 0.004267  -9.8574   2.1921   2.8265 +0.05185 +0.05637 +0.04225
 0.217836  -0.5586  -0.6382  +3.9091 0.009210  -8.3483   2.3845   2.7272 +0.11491 +0.10668 +0.07760
 0.223684  -0.4326  -0.5675  +3.9358 0.010409  -6.4753   2.5522   2.5712 +0.12262 +0.09412 +0.06811
 0.229532  -0.3059  -0.4961  +3.9573 0.011045  -4.5821   2.6809   2.4367 +0.10681 +0.06988 +0.05118
 0.235380  -0.1788  -0.4241  +3.9734 0.011418  -2.6795   2.7744   2.3298 +0.07123 +0.04170 +0.03095
 0.241228  -0.0515  -0.3515  +3.9842 0.011629  -0.7722   2.8353   2.2553 +0.02191 +0.01215 +0.00909
 0.247076  +0.0759  -0.2783  +3.9896 0.011725  +1.1367   2.8653   2.2169 -0.03237 -0.01805 -0.01349
 0.252924  +0.2031  -0.2049  +3.9896 0.011725  +3.0441   2.8653   2.2169 -0.08193 -0.04875 -0.03612
 0.258772  +0.3301  -0.1311  +3.9842 0.011629  +4.9471   2.8353   2.2553 -0.11852 -0.07959 -0.05821
 0.264620  +0.4567  -0.0572  +3.9734 0.011418  +6.8426   2.7744   2.3298 -0.13733 -0.10913 -0.07903
 0.270468  +0.5826  +0.0169  +3.9573 0.011045  +8.7270   2.6809   2.4367 -0.13761 -0.13301 -0.09747
 0.276316  +0.7078  +0.0908  +3.9358 0.010409 +10.5952   2.5522   2.5711 -0.12189 -0.14217 -0.11144
 0.282164  +0.8320  +0.1647  +3.9091 0.009210 +12.4332   2.3842   2.7269 -0.09376 -0.12507 -0.11557
 0.288012  +0.9551  +0.2384  +3.8770 0.004267 +13.7647   2.1522   2.7957 -0.03758 -0.05251 -0.05899
 0.293860  +1.0768  +0.3117  +3.8397 0.000000  +0.0000   2.0000   2.0000 -0.00000 +0.00000 -0.00000
 0.299708  +1.1972  +0.3846  +3.7972 0.000000  +0.0000   2.0000   2.0000 -0.00000 +0.00000 -0.00000
 0.305556  +1.3159  +0.4570  +3.7496 0.000000  +0.0000   2.0000   2.0000 -0.00000 +0.00000 -0.00000
