# BJD-2450000   mag       e_mag      Flag   Phase    
  7064.068193   -0.0019   0.00097    5      0.46816  
  7064.088626   +0.0056   0.00097    5      0.47646  
  7064.109058   +0.0232   0.00097    5      0.48476  
  7064.129490   +0.0388   0.00097    5      0.49307  
  7064.149922   +0.0438   0.00097    5      0.50137  
  7064.211219   +0.0029   0.00097    5      0.52627  
  7064.231651   -0.0006   0.00097    1      0.53458  
  7064.252083   -0.0009   0.00097    0      0.54288  
  7064.272516   -0.0003   0.00097    0      0.55118  
  7064.313380   -0.0001   0.00097    1      0.56778  
  7064.333812   +0.0001   0.00097    0      0.57609  
  7064.354245   +0.0002   0.00097    0      0.58439  
  7064.374677   +0.0002   0.00097    0      0.59269  
  7064.395109   +0.0002   0.00097    0      0.60099  
  7064.456406   -0.0023   0.00097    1      0.62590  
  7064.476838   -0.0024   0.00097    0      0.63420  
  7064.497270   -0.0023   0.00097    0      0.64250  
  7064.517703   -0.0022   0.00097    0      0.65080  
  7064.538135   -0.0016   0.00097    0      0.65911  
  7064.558567   -0.0017   0.00097    1      0.66741  
  7064.578999   -0.0010   0.00097    0      0.67571  
  7064.599432   -0.0014   0.00097    0      0.68401  
  7064.640296   -0.0008   0.00097    0      0.70062  
  7064.660728   -0.0006   0.00097    0      0.70892  
  7064.701593   -0.0030   0.00097    1      0.72552  
  7064.722025   -0.0021   0.00097    0      0.73382  
  7064.762890   -0.0017   0.00097    0      0.75043  
  7064.783322   -0.0018   0.00097    0      0.75873  
  7064.803754   -0.0010   0.00097    0      0.76703  
  7064.824186   -0.0010   0.00097    1      0.77533  
  7064.844619   -0.0004   0.00097    0      0.78364  
  7064.865051   -0.0001   0.00097    0      0.79194  
  7064.885483   +0.0003   0.00097    0      0.80024  
  7064.926347   +0.0009   0.00097    0      0.81684  
  7064.946780   +0.0018   0.00097    1      0.82515  
  7064.967212   +0.0021   0.00097    0      0.83345  
  7064.987644   +0.0031   0.00097    0      0.84175  
  7065.008076   +0.0034   0.00097    0      0.85005  
  7065.028509   +0.0042   0.00097    0      0.85835  
  7065.048941   +0.0045   0.00097    1      0.86666  
  7065.089805   +0.0057   0.00097    0      0.88326  
  7065.110237   +0.0060   0.00097    0      0.89156  
  7065.130670   +0.0068   0.00097    0      0.89986  
  7065.191966   +0.0050   0.00097    0      0.92477  
  7065.212399   +0.0057   0.00097    1      0.93307  
  7065.232831   +0.0056   0.00097    0      0.94137  
  7065.253263   +0.0062   0.00097    0      0.94967  
  7065.273695   +0.0064   0.00097    0      0.95798  
  7065.294127   +0.0067   0.00097    1      0.96628  
  7065.314560   +0.0163   0.00097    5      0.97458  
  7065.334992   +0.0512   0.00097    5      0.98288  
  7065.355424   +0.0870   0.00097    5      0.99118  
  7065.375856   +0.1028   0.00097    5      0.99949  
  7065.396289   +0.0910   0.00097    5      0.00779  
  7065.416721   +0.0571   0.00097    5      0.01609  
  7065.478017   +0.0080   0.00097    1      0.04100  
  7065.518882   +0.0078   0.00097    0      0.05760  
  7065.539314   +0.0081   0.00097    0      0.06590  
  7065.559746   +0.0076   0.00097    0      0.07420  
  7065.580178   +0.0075   0.00097    1      0.08251  
  7065.600611   +0.0070   0.00097    0      0.09081  
  7065.621043   +0.0069   0.00097    0      0.09911  
  7065.641475   +0.0064   0.00097    0      0.10741  
  7065.682340   +0.0030   0.00097    0      0.12402  
  7065.702772   +0.0025   0.00097    1      0.13232  
  7065.743636   +0.0016   0.00097    0      0.14892  
  7065.764068   +0.0013   0.00097    0      0.15722  
  7065.784501   +0.0008   0.00097    0      0.16553  
  7065.804933   +0.0006   0.00097    0      0.17383  
  7065.825365   +0.0001   0.00097    1      0.18213  
  7065.845797   -0.0001   0.00097    0      0.19043  
  7065.866229   -0.0004   0.00097    0      0.19873  
  7065.886662   -0.0007   0.00097    0      0.20704  
  7065.907094   -0.0008   0.00097    0      0.21534  
  7065.927526   -0.0011   0.00097    1      0.22364  
  7065.947958   -0.0014   0.00097    0      0.23194  
  7065.968391   -0.0014   0.00097    0      0.24024  
  7065.988823   -0.0015   0.00097    0      0.24854  
  7066.009255   -0.0017   0.00097    0      0.25685  
  7066.029687   -0.0020   0.00097    1      0.26515  
  7066.050119   -0.0015   0.00097    0      0.27345  
  7066.090984   -0.0015   0.00097    0      0.29005  
  7066.111416   -0.0016   0.00097    0      0.29836  
  7066.172712   -0.0032   0.00097    0      0.32326  
  7066.193145   -0.0031   0.00097    1      0.33156  
  7066.213577   -0.0031   0.00097    0      0.33987  
  7066.234009   -0.0031   0.00097    0      0.34817  
  7066.254441   -0.0032   0.00097    0      0.35647  
  7066.274873   -0.0030   0.00097    0      0.36477  
  7066.295306   -0.0033   0.00097    1      0.37307  
  7066.315738   -0.0027   0.00097    0      0.38138  
  7066.336170   -0.0029   0.00097    0      0.38968  
  7066.356602   -0.0025   0.00097    0      0.39798  
  7066.377034   -0.0024   0.00097    0      0.40628  
  7066.397467   -0.0024   0.00097    1      0.41458  
  7066.417899   -0.0018   0.00097    0      0.42289  
  7066.438331   -0.0020   0.00097    0      0.43119  
  7066.458763   -0.0016   0.00097    0      0.43949  
  7066.479195   -0.0018   0.00097    0      0.44779  
  7066.499628   -0.0007   0.00097    1      0.45609  
  7066.520060   -0.0010   0.00097    1      0.46440  
  7066.540492   +0.0017   0.00097    5      0.47270  
  7066.663085   +0.0071   0.00097    5      0.52251  
  7066.683517   -0.0015   0.00097    5      0.53081  
  7066.703949   -0.0023   0.00097    1      0.53911  
  7066.724382   -0.0014   0.00097    0      0.54741  
  7066.744814   -0.0021   0.00097    0      0.55572  
  7066.765246   -0.0017   0.00097    0      0.56402  
  7066.785678   -0.0018   0.00097    0      0.57232  
  7066.806110   -0.0014   0.00097    1      0.58062  
  7066.826543   -0.0015   0.00097    0      0.58892  
  7066.846975   -0.0013   0.00097    0      0.59723  
  7066.867407   -0.0009   0.00097    0      0.60553  
  7066.928704   -0.0010   0.00097    0      0.63043  
  7066.949136   -0.0007   0.00097    1      0.63874  
  7066.969568   -0.0008   0.00097    0      0.64704  
  7067.010432   -0.0001   0.00097    0      0.66364  
  7067.030864   -0.0002   0.00097    0      0.67194  
  7067.051296   +0.0003   0.00097    0      0.68025  
  7067.092161   +0.0005   0.00097    1      0.69685  
  7067.112593   +0.0002   0.00097    0      0.70515  
  7067.153457   -0.0022   0.00097    0      0.72176  
  7067.173890   -0.0017   0.00097    0      0.73006  
  7067.194322   -0.0015   0.00097    0      0.73836  
  7067.214754   -0.0015   0.00097    1      0.74666  
  7067.235186   -0.0010   0.00097    0      0.75496  
  7067.255618   -0.0006   0.00097    0      0.76327  
  7067.276050   -0.0003   0.00097    0      0.77157  
  7067.296483   +0.0004   0.00097    0      0.77987  
  7067.316915   +0.0010   0.00097    1      0.78817  
  7067.337347   +0.0013   0.00097    0      0.79647  
  7067.357779   +0.0018   0.00097    0      0.80477  
  7067.398643   +0.0009   0.00097    0      0.82138  
  7067.419076   +0.0010   0.00097    0      0.82968  
  7067.439508   +0.0016   0.00097    1      0.83798  
  7067.459940   +0.0019   0.00097    0      0.84628  
  7067.480372   +0.0023   0.00097    0      0.85459  
